transaction_id,created_at,premium_amount,premium_currency,charged_party,status
ffffde5b4cb37a61534cd5d608a69f28,7/1/2025 9:07:52,4.8,EUR,dronant,processed
fff4a214d260fe73017b8059ccec2e38,6/1/2025 8:28:57,7.76,EUR,berlinre,processed
ffcbf6ec70dc6cce24b6a63142ae36f0,7/2/2025 18:21:49,2.19,EUR,getland,processed
ffa4d9b1a6fe515274338acac104b563,8/1/2025 19:31:02,7.8,EUR,liadigital,processed
ff9a279cca97b819529a13b0dc9ba1f5,6/1/2025 20:26:16,1.93,EUR,getland,processed
ff9819b79dd2ca782b64339aea210fa9,8/1/2025 22:58:41,8.79,EUR,dronant,processed
ff9002760584da99015a6febdf335690,7/6/2025 22:01:14,4.32,EUR,dronant,processed
ff8b90426534f1ba5e57b2098e95b690,6/13/2025 19:59:28,5.75,EUR,dronant,processed
ff60d70cc4d338419c2b40638a790897,8/1/2025 17:50:38,3.97,EUR,liadigital,processed
ff2c0e13ed5dc1c03cd2c9a84c60c10b,7/1/2025 22:12:39,1.82,EUR,liadigital,processed
ff197e45b22971561a0b750146c41c8b,7/2/2025 15:32:14,5.26,EUR,berlinre,refunded
ff17d771426f59ea22dca4e1a59c8f76,7/1/2025 7:11:53,4.73,EUR,liadigital,processed
ff0893a9515e01f82b26edaf177e81ba,7/7/2025 18:04:07,9.79,EUR,dronant,processed
fedc42235f3b04282131dd324efe1e4f,6/14/2025 13:12:53,2.99,EUR,getland,processed
fed6a65f34c826761d0fb14dc69df177,6/22/2025 21:24:22,1.79,EUR,dronant,processed
fed35107320300b26fa373d04953e96f,6/1/2025 6:20:12,6.04,EUR,dronant,processed
fea7b473695df5d4afce40365bcc0f02,6/1/2025 12:44:12,8.51,EUR,dronant,processed
fea2d4641e8daa8b858e8d1af54bfb95,7/1/2025 10:48:26,6.45,EUR,dronant,processed
fe9cd2e5abe49c5b77acf22e661d0757,6/10/2025 17:33:33,13.86,EUR,dronant,refunded
fe90442975bc124f7b13bcddbe3df5c0,7/1/2025 13:14:28,6.09,EUR,liadigital,processed
fe852e053235eb0d293a7a8c5677fb5a,8/1/2025 16:16:21,5.43,EUR,liadigital,processed
fe7f7549d37f33f4bd9f0e3b4155087b,6/1/2025 11:14:12,8.71,EUR,liadigital,processed
fe586f5e33ecc347f7511338dcc1a39d,7/2/2025 3:56:53,4.66,EUR,dronant,processed
fe535e9043582813bb2d9d14a59f2245,6/4/2025 12:18:23,4.25,EUR,liadigital,processed
fe2d7ec4d055d8d0f09656d5f85c41e2,8/1/2025 13:18:21,3.91,EUR,berlinre,processed
fe0390f6290f1c6534b4a6f6e1acf463,7/2/2025 20:47:25,6.23,EUR,liadigital,processed
fdfb1c2239c961439690f1165572bcc9,6/12/2025 16:42:25,8.1,EUR,liadigital,processed
fdf820a3ca6ac8a05dd84aab99572d95,8/1/2025 22:48:34,6.32,EUR,dronant,processed
fdee22edf8dfde9906c65316fb5d8278,6/13/2025 5:56:07,4.86,EUR,dronant,processed
fdd5bca587dcbfd68599701838861190,6/16/2025 19:14:49,6.41,EUR,berlinre,processed
fdb961bbc0f84e783c61689030b67ff0,6/17/2025 9:17:10,5.94,EUR,liadigital,processed
fdb57f4ffa762d9b463f5133ec5a3e57,7/1/2025 12:16:31,5.58,EUR,dronant,processed
fdb503b74a8db159863ff7e1c0111274,8/1/2025 19:32:40,6.05,EUR,dronant,processed
fd93211348697b06a1583f383284ade1,6/1/2025 11:39:56,7.58,EUR,dronant,processed
fd82bd271fefe37e257d45eaa406fe5b,7/8/2025 18:34:04,6.5,EUR,dronant,processed
fd72db994a7ad55a71e3ff021209f41e,6/20/2025 11:59:50,4.94,EUR,getland,processed
fd6e96a6791dc708398264e60ca1b687,8/1/2025 23:06:51,1.53,EUR,liadigital,processed
fd6aad9c542b974a31177544f3e8f106,8/1/2025 22:21:30,5.1,EUR,liadigital,processed
fd0863598fb2040048f364070c1a7844,6/1/2025 12:23:29,3.63,EUR,berlinre,processed
fd0035285979210982fa4daa48eae0a5,7/1/2025 13:45:12,8.42,EUR,liadigital,processed
fcf636b456b139d20089d219f882684f,6/9/2025 10:28:05,7.86,EUR,dronant,processed
fcd5741664f8fd86beaf54c4693667a8,6/21/2025 11:01:31,3.72,EUR,dronant,processed
fc9cd460440493dc20285405b68aa61c,6/8/2025 14:16:57,1.72,EUR,liadigital,processed
fc8b526f2f6f95cd1ebcb6da022a01d3,7/1/2025 10:17:42,5.05,EUR,berlinre,processed
fc8516451007f53af1b90a79586a8a37,6/20/2025 10:25:14,4.57,EUR,berlinre,processed
fc7aa6a6847b8b88e34b455ecf2b796e,7/1/2025 1:24:49,8.53,EUR,liadigital,processed
fc796b612966907b98224cc822f421f3,8/1/2025 13:27:12,3.6,EUR,dronant,refunded
fc491c8d90090139a4735e65d896af41,8/1/2025 15:21:45,6.47,EUR,berlinre,processed
fc41bcded0c150aa54a12291fe60cc75,7/1/2025 6:14:05,6.13,EUR,dronant,processed
fc092ce7ab407428fed47c0a42107090,8/1/2025 20:38:26,6.19,EUR,berlinre,processed
fbf8c2524e99a7f2f519ca11646fdc93,6/22/2025 7:44:12,9.41,EUR,dronant,processed
fba530d4b6d5a02745e76894fe73e842,8/1/2025 18:23:34,6.6,EUR,liadigital,processed
